Year,Week,Division,Cases
2025,1,Barishal Division (Out of CC),15
2025,1,Chittagong Division (Out of CC),9
2025,1,Chattogram Division (Out of CC),null
2025,1,Dhaka Division (Out of CC),22
2025,1,DNCC,14
2025,1,DSCC,12
2025,1,Khulna Division (Out of CC),4
2025,1,Mymensingh Division (Out of CC),4
2025,1,Rajshahi Division (Out of CC),5
2025,1,Rangpur Division (Out of CC),null
2025,1,Sylhet Division (Out of CC),1
2025,1,Barishal Division (Out of CC),3
2025,1,Chittagong Division (Out of CC),5
2025,1,Chattogram Division (Out of CC),null
2025,1,Dhaka Division (Out of CC),8
2025,1,DNCC,14
2025,1,DSCC,18
2025,1,Khulna Division (Out of CC),6
2025,1,Mymensingh Division (Out of CC),1
2025,1,Rajshahi Division (Out of CC),1
2025,1,Rangpur Division (Out of CC),null
2025,1,Sylhet Division (Out of CC),null
2025,1,Barishal Division (Out of CC),null
2025,1,Chittagong Division (Out of CC),4
2025,1,Chattogram Division (Out of CC),null
2025,1,Dhaka Division (Out of CC),10
2025,1,DNCC,7
2025,1,DSCC,1
2025,1,Khulna Division (Out of CC),null
2025,1,Mymensingh Division (Out of CC),1
2025,1,Rajshahi Division (Out of CC),null
2025,1,Rangpur Division (Out of CC),null
2025,1,Sylhet Division (Out of CC),null
2025,1,Barishal Division (Out of CC),9
2025,1,Chittagong Division (Out of CC),null
2025,1,Chattogram Division (Out of CC),13
2025,1,Dhaka Division (Out of CC),10
2025,1,DNCC,9
2025,1,DSCC,12
2025,1,Khulna Division (Out of CC),2
2025,1,Mymensingh Division (Out of CC),1
2025,1,Rajshahi Division (Out of CC),null
2025,1,Rangpur Division (Out of CC),null
2025,1,Sylhet Division (Out of CC),null
2025,2,Barishal Division (Out of CC),10
2025,2,Chittagong Division (Out of CC),null
2025,2,Chattogram Division (Out of CC),17
2025,2,Dhaka Division (Out of CC),4
2025,2,DNCC,11
2025,2,DSCC,15
2025,2,Khulna Division (Out of CC),5
2025,2,Mymensingh Division (Out of CC),2
2025,2,Rajshahi Division (Out of CC),2
2025,2,Rangpur Division (Out of CC),null
2025,2,Sylhet Division (Out of CC),null
2025,2,Barishal Division (Out of CC),8
2025,2,Chittagong Division (Out of CC),null
2025,2,Chattogram Division (Out of CC),10
2025,2,Dhaka Division (Out of CC),15
2025,2,DNCC,8
2025,2,DSCC,16
2025,2,Khulna Division (Out of CC),5
2025,2,Mymensingh Division (Out of CC),3
2025,2,Rajshahi Division (Out of CC),2
2025,2,Rangpur Division (Out of CC),null
2025,2,Sylhet Division (Out of CC),3
2025,2,Barishal Division (Out of CC),10
2025,2,Chittagong Division (Out of CC),null
2025,2,Chattogram Division (Out of CC),13
2025,2,Dhaka Division (Out of CC),10
2025,2,DNCC,10
2025,2,DSCC,9
2025,2,Khulna Division (Out of CC),6
2025,2,Mymensingh Division (Out of CC),2
2025,2,Rajshahi Division (Out of CC),1
2025,2,Rangpur Division (Out of CC),null
2025,2,Sylhet Division (Out of CC),null
2025,2,Barishal Division (Out of CC),14
2025,2,Chittagong Division (Out of CC),null
2025,2,Chattogram Division (Out of CC),6
2025,2,Dhaka Division (Out of CC),10
2025,2,DNCC,6
2025,2,DSCC,10
2025,2,Khulna Division (Out of CC),1
2025,2,Mymensingh Division (Out of CC),1
2025,2,Rajshahi Division (Out of CC),2
2025,2,Rangpur Division (Out of CC),1
2025,2,Sylhet Division (Out of CC),null
2025,2,Barishal Division (Out of CC),8
2025,2,Chittagong Division (Out of CC),null
2025,2,Chattogram Division (Out of CC),3
2025,2,Dhaka Division (Out of CC),11
2025,2,DNCC,7
2025,2,DSCC,6
2025,2,Khulna Division (Out of CC),1
2025,2,Mymensingh Division (Out of CC),1
2025,2,Rajshahi Division (Out of CC),3
2025,2,Rangpur Division (Out of CC),null
2025,2,Sylhet Division (Out of CC),null
2025,2,Barishal Division (Out of CC),null
2025,2,Chittagong Division (Out of CC),null
2025,2,Chattogram Division (Out of CC),3
2025,2,Dhaka Division (Out of CC),3
2025,2,DNCC,6
2025,2,DSCC,5
2025,2,Khulna Division (Out of CC),1
2025,2,Mymensingh Division (Out of CC),1
2025,2,Rajshahi Division (Out of CC),null
2025,2,Rangpur Division (Out of CC),null
2025,2,Sylhet Division (Out of CC),null
2025,2,Barishal Division (Out of CC),1
2025,2,Chittagong Division (Out of CC),null
2025,2,Chattogram Division (Out of CC),4
2025,2,Dhaka Division (Out of CC),9
2025,2,DNCC,9
2025,2,DSCC,15
2025,2,Khulna Division (Out of CC),1
2025,2,Mymensingh Division (Out of CC),1
2025,2,Rajshahi Division (Out of CC),5
2025,2,Rangpur Division (Out of CC),null
2025,2,Sylhet Division (Out of CC),null
2025,3,Barishal Division (Out of CC),5
2025,3,Chittagong Division (Out of CC),null
2025,3,Chattogram Division (Out of CC),21
2025,3,Dhaka Division (Out of CC),7
2025,3,DNCC,6
2025,3,DSCC,11
2025,3,Khulna Division (Out of CC),3
2025,3,Mymensingh Division (Out of CC),null
2025,3,Rajshahi Division (Out of CC),4
2025,3,Rangpur Division (Out of CC),null
2025,3,Sylhet Division (Out of CC),null
2025,3,Barishal Division (Out of CC),7
2025,3,Chittagong Division (Out of CC),null
2025,3,Chattogram Division (Out of CC),4
2025,3,Dhaka Division (Out of CC),7
2025,3,DNCC,7
2025,3,DSCC,9
2025,3,Khulna Division (Out of CC),3
2025,3,Mymensingh Division (Out of CC),null
2025,3,Rajshahi Division (Out of CC),2
2025,3,Rangpur Division (Out of CC),null
2025,3,Sylhet Division (Out of CC),null
2025,3,Barishal Division (Out of CC),7
2025,3,Chittagong Division (Out of CC),null
2025,3,Chattogram Division (Out of CC),4
2025,3,Dhaka Division (Out of CC),null
2025,3,DNCC,7
2025,3,DSCC,9
2025,3,Khulna Division (Out of CC),2
2025,3,Mymensingh Division (Out of CC),null
2025,3,Rajshahi Division (Out of CC),2
2025,3,Rangpur Division (Out of CC),null
2025,3,Sylhet Division (Out of CC),null
2025,3,Barishal Division (Out of CC),6
2025,3,Chittagong Division (Out of CC),null
2025,3,Chattogram Division (Out of CC),4
2025,3,Dhaka Division (Out of CC),12
2025,3,DNCC,14
2025,3,DSCC,3
2025,3,Khulna Division (Out of CC),2
2025,3,Mymensingh Division (Out of CC),null
2025,3,Rajshahi Division (Out of CC),2
2025,3,Rangpur Division (Out of CC),1
2025,3,Sylhet Division (Out of CC),1
2025,3,Barishal Division (Out of CC),9
2025,3,Chittagong Division (Out of CC),null
2025,3,Chattogram Division (Out of CC),4
2025,3,Dhaka Division (Out of CC),1
2025,3,DNCC,5
2025,3,DSCC,6
2025,3,Khulna Division (Out of CC),null
2025,3,Mymensingh Division (Out of CC),null
2025,3,Rajshahi Division (Out of CC),1
2025,3,Rangpur Division (Out of CC),1
2025,3,Sylhet Division (Out of CC),null
2025,3,Barishal Division (Out of CC),null
2025,3,Chittagong Division (Out of CC),null
2025,3,Chattogram Division (Out of CC),2
2025,3,Dhaka Division (Out of CC),3
2025,3,DNCC,11
2025,3,DSCC,null
2025,3,Khulna Division (Out of CC),null
2025,3,Mymensingh Division (Out of CC),1
2025,3,Rajshahi Division (Out of CC),1
2025,3,Rangpur Division (Out of CC),1
2025,3,Sylhet Division (Out of CC),null
2025,3,Barishal Division (Out of CC),7
2025,3,Chittagong Division (Out of CC),null
2025,3,Chattogram Division (Out of CC),6
2025,3,Dhaka Division (Out of CC),7
2025,3,DNCC,2
2025,3,DSCC,14
2025,3,Khulna Division (Out of CC),3
2025,3,Mymensingh Division (Out of CC),1
2025,3,Rajshahi Division (Out of CC),null
2025,3,Rangpur Division (Out of CC),null
2025,3,Sylhet Division (Out of CC),null
2025,4,Barishal Division (Out of CC),11
2025,4,Chittagong Division (Out of CC),null
2025,4,Chattogram Division (Out of CC),17
2025,4,Dhaka Division (Out of CC),6
2025,4,DNCC,2
2025,4,DSCC,7
2025,4,Khulna Division (Out of CC),1
2025,4,Mymensingh Division (Out of CC),1
2025,4,Rajshahi Division (Out of CC),1
2025,4,Rangpur Division (Out of CC),null
2025,4,Sylhet Division (Out of CC),null
2025,4,Barishal Division (Out of CC),12
2025,4,Chittagong Division (Out of CC),null
2025,4,Chattogram Division (Out of CC),2
2025,4,Dhaka Division (Out of CC),9
2025,4,DNCC,3
2025,4,DSCC,7
2025,4,Khulna Division (Out of CC),6
2025,4,Mymensingh Division (Out of CC),null
2025,4,Rajshahi Division (Out of CC),null
2025,4,Rangpur Division (Out of CC),null
2025,4,Sylhet Division (Out of CC),null
2025,4,Barishal Division (Out of CC),1
2025,4,Chittagong Division (Out of CC),null
2025,4,Chattogram Division (Out of CC),5
2025,4,Dhaka Division (Out of CC),6
2025,4,DNCC,2
2025,4,DSCC,5
2025,4,Khulna Division (Out of CC),3
